Entity code,Entity name,Entity abbreviation,Entity theme,Entity coverage,Related entity codes,Status,Number of live instances,Number of archived instances,Number of cross-border instances,Date of last instance change,Current code (first in range),Current code (last in range),Reserved code (for CHD use),Entity owner abbreviation,Date entity introduced on RGC,Entity start date,,
W06,Unitary Authorities,UA,Administrative,Wales,n/a,Current,22,2,0,01/01/2010,W06000001,W06000024,W06999999,WG (LGBC),01/01/2009,01/01/2009,,
W07,Westminster Parliamentary Constituencies,PCON,Electoral,Wales,"E14, S14, N05",Current,32,81,0,04/07/2024,W07000081,W07000112,W07999999,WG (BC),01/01/2009,01/01/2009,,
W08,European Electoral Regions,EER,Electoral,Wales,"E15, S15, N07",Archived,0,1,0,31/12/2020,W08000001,W08000001,W08999999,WG (BC),01/01/2009,01/01/2009,,
W09,The Senedd Constituencies,SENC,Electoral,Wales,n/a,Current,16,72,0,07/05/2026,W09000048,W09000063,W09999999,WG (BC),01/01/2009,01/01/2009,,
W10,The Senedd Electoral Regions,SENER,Electoral,Wales,n/a,Archived,0,9,0,07/05/2026,W10000001,W10000009,W10999999,WG (BC),01/01/2009,01/01/2009,,
W11,Local Health Boards,LHB,Health,Wales,n/a,Current,7,24,0,01/04/2019,W11000023,W11000031,W11999999,WG (Health),01/01/2009,01/01/2009,,
W12,Cancer Registries,CANREG,Health,Wales,E20,Current,1,0,0,n/a,W12000001,W12000001,W12999999,ODS,01/01/2009,01/01/2009,,
W13,Cancer Networks,CANNET,Health,Wales,E21,Current,2,2,0,01/04/2011,W13000001,W13000004,W13999999,ODS,01/01/2009,01/01/2009,,
W14,Community Safety Partnerships,CSP,Other,Wales,E22,Current,21,3,0,16/01/2017,W14000001,W14000023,W14999999,Home Office,01/01/2009,01/01/2009,,
W15,Police Force Areas,PFA,Other,Wales,"E23, S23, N23",Current,4,0,0,n/a,W15000001,W15000004,W15999999,Home Office,01/01/2009,01/01/2009,,
W16,"Department for Children, Education, Lifelong Learning and Skills, WG",DCELLS,Other,Wales,n/a,Current,4,0,0,n/a,W16000001,W16000004,W16999999,WG (Educ),01/01/2009,01/04/2007,,
W18,National Parks,NPARK,Other,Wales,"E26, S21",Current,3,6,0,17/04/2023,W18000001,W18000003,W18999999,WG (Envt),01/01/2009,01/01/2009,,
W19,Senedd Cymru Economic Regions,SCER,Other,Wales,n/a,Current,4,0,0,n/a,W19000001,W19000004,W19999999,WG (Econ),01/01/2009,01/01/2009,,
W20,Registration Districts,REGD,Other,Wales,E28,Current,22,19,0,13/06/2018,W20000001,W20000040,W20999999,ONS,01/01/2009,01/01/2009,,
W21,Registration Sub-district,REGSD,Other,Wales,E29,Current,22,24,0,13/06/2018,W21000001,W21000045,W21999999,ONS,01/01/2009,01/01/2009,,
W22,Travel to Work Areas,TTWA,Other,Wales,"E30, S22, N12, K01",Current,18,30,4,31/07/2015,W22000003,W22000034,W22999999,ONS,01/01/2009,01/01/2009,,
W23,Spatial Plan Areas,SPA,Other,Wales,n/a,Current,6,0,0,n/a,W23000001,W23000006,W23999999,WG (Stats),01/01/2009,01/01/2009,,
W24,Spatial Plan Sub-areas,SPSA,Other,Wales,n/a,Current,3,0,0,n/a,W24000001,W24000003,W24999999,WG (Stats),01/01/2009,01/01/2009,,
W25,Fire and Rescue Authorities,FRA,Other,Wales,"E31, S38, N31",Current,3,0,0,n/a,W25000001,W25000003,W25999999,Home Office,01/01/2009,01/01/2009,,
W26,Strategic Regeneration Areas,SRA,Other,Wales,n/a,Current,7,0,0,01/01/2011,W26000001,W26000007,W26999999,WG (Econ),06/05/2010,01/01/2010,,
W27,Strategic Regeneration Sub-areas,SRASub,Other,Wales,n/a,Current,2,0,0,n/a,W27000001,W27000002,W27999999,WG (Econ),06/05/2010,01/01/2010,,
W28,Transport Consortia Areas,TCA,Other,Wales,n/a,Current,4,0,0,n/a,W28000001,W28000004,W28999999,WG (Econ),06/05/2010,01/01/2009,,
W29,Agricultural Regions,AgricReg,Other,Wales,n/a,Current,7,0,0,n/a,W29000001,W29000007,W29999999,WG (Stats),31/10/2010,01/01/2009,,
W30,Agricultural Small Areas,AgricSmall,Other,Wales,n/a,Current,235,0,0,n/a,W30000001,W30000235,W30999999,WG (Stats),31/10/2010,01/01/2009,,
W31,Wales Non-National Park Area,NonNPARK,Other,Wales,n/a,Current,1,0,0,n/a,W31000001,W31000001,W31999999,WG (Envt),31/10/2010,01/01/2009,,
W32,Non-Strategic Regeneration Area,NonSRA,Other,Wales,n/a,Current,1,0,0,n/a,W32000001,W32000001,W32999999,WG (Econ),31/10/2010,01/01/2010,,
W33,Communities First Areas,CFA,Other,Wales,n/a,Current,52,153,0,01/04/2013,W33000154,W33000205,W33999999,WG (Econ),01/01/2011,01/01/2009,,
W34,Non-Communities First Areas,NonCFA,Other,Wales,n/a,Current,1,1,0,01/04/2013,W34000002,W34000002,W34999999,WG (Econ),01/01/2011,01/01/2009,,
W35,Workplace Zones,WZ,Census,Wales,"E33, S34, N19",Current,"2,710",0,0,n/a,W35000001,W35002710,W35999999,ONS,31/01/2013,31/12/2011,,
W36,Footprint Regions for Public Service Collaboration,PSCReg,Administrative,Wales,n/a,Current,6,0,0,n/a,W36000001,W36000006,W36999999,WG,01/09/2011,01/09/2011,,
W37,Built Up Areas (2011 Version),BUA,Census,Wales,"E34, K05",Archived,0,459,11,30/11/2022,W37000001,W37000459,W37999999,ONS,27/06/2013,27/03/2011,,
W38,Built Up Area sub-divisions (2011 Version),BUASD,Census,Wales,"E35, K06",Archived,0,160,4,30/11/2022,W38000001,W38000160,W38999999,ONS,27/06/2013,27/03/2011,,
W39,Census Merged Wards,CMWD,Census,Wales,E36,Current,868,0,0,n/a,W39000001,W39000868,W39999999,ONS,31/01/2013,31/12/2011,,
W40,Census Merged Local Authority Districts,CMLAD,Census,Wales,E41,Current,22,0,0,n/a,W40000001,W40000022,W40999999,ONS,01/04/2013,31/12/2011,,
W41,Local Resilience Forums,LRF,Other,Wales,E48,Current,4,0,0,n/a,W41000001,W41000004,W41999999,DLUHC,23/07/2015,01/08/2015,,
W42,City Regions,CREG,Other,Wales,n/a,Current,4,0,0,n/a,W42000001,W42000004,W42999999,WG (Econ),05/07/2018,01/07/2018,,
W43,Local Planning Authorities,LPA,Administrative,Wales,"E60, N13, S44",Current,25,0,0,n/a,W43000001,W43000025,W43999999,ONS,01/07/2019,01/04/2019,,
W44,National Landscapes (formerly AONB),NL,Other,Wales,"E62, K07",Current,4,0,1,n/a,W44000001,W44000004,W44999999,Natural Resources Wales,21/02/2022,21/02/2022,,
W45,Built Up Areas,BUA,Census,Wales,"E63, S45, K08",Current,630,1240,10,01/04/2026,W45001241,W45001870,W45999999,OS,14/10/2022,14/10/2022,,
W46,Grouped Local Authority Districts (Parishes),GLAD,Census,Wales,E66,Current,3,0,0,n/a,W46000001,W46000003,W46999999,ONS,11/04/2023,11/04/2023,,
W47,Grouped Lower Tier Local Authorities 2022,GLTLA,Census,Wales,E68,Current,17,0,0,n/a,W47000001,W47000017,W47999999,ONS,10/05/2023,10/05/2023,,
W92,Country,CTRY,Administrative,Wales,"E92, S92, N92, L93, M83",Current,1,0,0,n/a,W92000004,W92000004,W92999999,ONS,01/01/2009,01/01/2009,,
